,Username,Category,Followers,Followees,Posts,Level
8797,chiara_conte_singerviolinist,fashion,9852.0,1813,961,Micro
8798,thedelilahblog,fashion,9847.0,1585,957,Micro
8799,sefalimahida,fashion,9845.0,93,458,Micro
8800,vogue.pk,fashion,9833.0,643,2594,Micro
8801,fabeautrends,fashion,9829.0,593,949,Micro
8802,thoughtfulwish,fashion,9825.0,1989,1419,Micro
8803,canaldabianca,fashion,9824.0,383,373,Micro
8804,nicolss,fashion,9822.0,476,592,Micro
8805,natlovesthat,fashion,9821.0,1348,712,Micro
8806,avec_mac,fashion,9818.0,991,371,Micro
8807,annaliesedayes,fashion,9812.0,1806,747,Micro
8808,zacdeck,fashion,9810.0,214,969,Micro
8809,torrisunshine,fashion,9806.0,1929,1394,Micro
8810,benjamindiedering,fashion,9801.0,1781,701,Micro
8811,sostyles,fashion,9801.0,1108,478,Micro
8812,cassandramarouki,fashion,9798.0,479,226,Micro
8813,homeofstars,fashion,9797.0,2480,1685,Micro
8814,juliacabanblog,fashion,9786.0,467,1145,Micro
8815,bysuellenmandu,fashion,9772.0,1714,730,Micro
8816,funkyflairboutique,fashion,9771.0,2904,5025,Micro
8817,team2ramos,fashion,9765.0,553,1630,Micro
8818,janaaasland,fashion,9756.0,978,424,Micro
8819,haayyllleeyy,fashion,9756.0,2397,497,Micro
8820,chelseaeve_templeton,fashion,9747.0,2970,1596,Micro
8821,asmammalek,fashion,9746.0,379,642,Micro
8822,mattlummus,fashion,9732.0,1779,2646,Micro
8823,eclectickurves,fashion,9731.0,985,930,Micro
8824,thenikkistandard,fashion,9730.0,782,707,Micro
8825,__y___u_,fashion,9728.0,533,210,Micro
8826,ally_bing,fashion,9727.0,262,1041,Micro
8827,miloutjioe,fashion,9724.0,728,774,Micro
8828,mattiapallozzi,fashion,9710.0,2425,719,Micro
8829,mrssaripalli,fashion,9709.0,1283,1014,Micro
8830,ivoblog,fashion,9705.0,699,918,Micro
8831,runwayribbons,fashion,9697.0,440,1024,Micro
8832,hinikki,fashion,9696.0,972,789,Micro
8833,goldwilldigger,fashion,9676.0,1356,638,Micro
8834,jessicavaughn4,fashion,9676.0,2146,8310,Micro
8835,everydaywithkblog,fashion,9671.0,1863,530,Micro
8836,lvtrendy_style,fashion,9660.0,750,859,Micro
8837,juliettiful,fashion,9650.0,1161,1423,Micro
8838,ami__yone,fashion,9646.0,339,323,Micro
8839,andislist,fashion,9631.0,4919,815,Micro
8840,valentynaap,fashion,9629.0,1172,605,Micro
8841,jadevanrielx,fashion,9629.0,1807,352,Micro
8842,littlelouvain,fashion,9625.0,1495,1539,Micro
8843,aleestang,fashion,9624.0,1717,335,Micro
8844,withdesireebella,fashion,9623.0,681,1704,Micro
8845,aluisalopes,fashion,9622.0,743,886,Micro
8846,saracruden,fashion,9619.0,148,692,Micro
8847,_thestylegen_,fashion,9612.0,471,472,Micro
8848,mellotune,fashion,9605.0,382,390,Micro
8849,mccall.mitchell,fashion,9601.0,854,475,Micro
8850,maritaboteroc,fashion,9600.0,2559,1670,Micro
8851,xojunexo,fashion,9599.0,509,630,Micro
8852,amandathompsonbowlds,fashion,9589.0,2401,601,Micro
8853,simplybychar,fashion,9589.0,942,865,Micro
8854,deborah_arizmendi,fashion,9588.0,4062,2426,Micro
8855,byamyly,fashion,9586.0,1539,449,Micro
8856,2ericbecerra,fashion,9578.0,6559,485,Micro
8857,arrowsandawe,fashion,9576.0,1187,570,Micro
8858,g.gamzekoc,fashion,9573.0,775,387,Micro
8859,polina.yg,fashion,9568.0,841,773,Micro
8860,_johnjarrett,fashion,9567.0,1187,1113,Micro
8861,1beautiful_t,fashion,9567.0,607,766,Micro
8862,thisismjg,fashion,9562.0,1294,1354,Micro
8863,denahuys,fashion,9562.0,1371,1297,Micro
8864,d_watso,fashion,9559.0,1074,6736,Micro
8865,literallyyg,fashion,9551.0,1173,2243,Micro
8866,bobbyschuessler,fashion,9550.0,1234,1695,Micro
8867,deliasfaison,fashion,9540.0,836,698,Micro
8868,sweetsauceblog,fashion,9539.0,4623,1819,Micro
8869,thestreetstyler_,fashion,9533.0,3124,1189,Micro
8870,madisonriding,fashion,9531.0,1057,339,Micro
8871,justebti,fashion,9524.0,2840,1408,Micro
8872,imperfectlysarah,fashion,9521.0,859,804,Micro
8873,iam_usamaa,fashion,9512.0,1026,285,Micro
8874,alinaandrose,fashion,9510.0,2605,474,Micro
8875,katieteutphoto,fashion,9509.0,7462,1328,Micro
8876,yoloryn,fashion,9506.0,715,528,Micro
8877,biancaxxfranco,fashion,9504.0,937,461,Micro
8878,getonmychic,fashion,9503.0,2306,377,Micro
8879,swdmagazine,fashion,9497.0,928,2124,Micro
8880,ritaibribeiro,fashion,9496.0,1056,340,Micro
8881,yuipiii721,fashion,9490.0,283,864,Micro
8882,mealia_c,fashion,9489.0,2835,524,Micro
8883,gracebelle,fashion,9483.0,1533,1288,Micro
8884,stephanie.merhi,fashion,9469.0,2026,2702,Micro
8885,theingenue,fashion,9463.0,1076,2312,Micro
8886,antoinettefrances,fashion,9458.0,815,1050,Micro
8887,lisa.m.aria,fashion,9457.0,602,306,Micro
8888,katia_schz,fashion,9442.0,2370,651,Micro
8889,stylish_page_vianey,fashion,9439.0,474,952,Micro
8890,bro0ketini,fashion,9436.0,966,787,Micro
8891,kristine_janice,fashion,9436.0,1602,453,Micro
8892,astylishcloset,fashion,9427.0,1441,852,Micro
8893,rebeccalately,fashion,9424.0,543,1861,Micro
8894,in_the_fifties,fashion,9423.0,631,273,Micro
8895,thoniabankz,fashion,9416.0,695,415,Micro
8896,heyaimeenicole,fashion,9412.0,2419,651,Micro
8897,thaisla_munique,fashion,9405.0,3251,674,Micro
8898,anameliapolanco,fashion,9404.0,258,608,Micro
8899,mariasagvik,fashion,9399.0,954,1026,Micro
8900,kendramcleish,fashion,9395.0,1303,373,Micro
8901,typicallyjane,fashion,9393.0,1723,2781,Micro
8902,styleoperator,fashion,9383.0,535,1905,Micro
8903,josettepimenta,fashion,9381.0,1077,303,Micro
8904,gabymthemodel,fashion,9380.0,1235,1361,Micro
8905,helenespilling,fashion,9372.0,3679,803,Micro
8906,wanderstylust,fashion,9371.0,1822,215,Micro
8907,britneyspear.s,fashion,9369.0,515,2206,Micro
8908,chanellealyssa,fashion,9354.0,366,658,Micro
8909,sistagram_____,fashion,9353.0,6470,274,Micro
8910,valeriehelton,fashion,9347.0,2207,530,Micro
8911,saralobben,fashion,9345.0,2345,737,Micro
8912,annikakotrc,fashion,9341.0,1004,306,Micro
8913,agypsyinthecity,fashion,9340.0,3221,340,Micro
8914,ashleybenfit,fashion,9337.0,327,869,Micro
8915,samknupp,fashion,9328.0,1306,486,Micro
8916,brookembastress,fashion,9324.0,2474,957,Micro
8917,spirossavvinos,fashion,9323.0,2068,3114,Micro
8918,yuliyamir1,fashion,9321.0,316,771,Micro
8919,verovlogs,fashion,9317.0,3779,1047,Micro
8920,eunique_kollection,fashion,9302.0,1538,323,Micro
8921,thetailoredolive,fashion,9299.0,2432,484,Micro
8922,monicareneewarren,fashion,9296.0,3982,909,Micro
8923,chalondawebbdotcom,fashion,9292.0,877,459,Micro
8924,winnie.odande,fashion,9287.0,1349,916,Micro
8925,evinalepotilnica,fashion,9283.0,207,432,Micro
8926,patrickrbrandao,fashion,9280.0,904,257,Micro
8927,writeslikeagirl,fashion,9277.0,2507,2106,Micro
8928,catherinevanboeckel,fashion,9261.0,2489,615,Micro
8929,jensyngagne,fashion,9254.0,1441,435,Micro
8930,diclassicx,fashion,9252.0,192,290,Micro
8931,lajeune,fashion,9251.0,546,873,Micro
8932,angeliqueemmanuelle,fashion,9235.0,561,544,Micro
8933,melissahendershot,fashion,9233.0,3977,1203,Micro
8934,blingaholic88,fashion,9230.0,5070,1517,Micro
8935,jaoujaou,fashion,9229.0,566,355,Micro
8936,britniekaplan,fashion,9210.0,409,887,Micro
8937,tiffycrazycool,fashion,9198.0,1127,497,Micro
8938,kameronmonet,fashion,9197.0,876,802,Micro
8939,thallyacordeiro,fashion,9191.0,1046,327,Micro
8940,thestylishmommy,fashion,9187.0,1179,1200,Micro
8941,ayaimamura,fashion,9187.0,391,1956,Micro
8942,van_schoen,fashion,9186.0,6801,450,Micro
8943,hakamme,fashion,9185.0,3129,808,Micro
8944,eddyleisyfigaro,fashion,9182.0,446,627,Micro
8945,zhureta,fashion,9182.0,638,526,Micro
8946,savannah.ashley,fashion,9180.0,3158,2325,Micro
8947,megan_caddy,fashion,9176.0,2828,737,Micro
8948,valentorya,fashion,9175.0,345,410,Micro
8949,anaflaviamuniz,fashion,9169.0,1358,579,Micro
8950,gabrielmagazine,fashion,9166.0,287,2183,Micro
8951,cronicasgermanicas,fashion,9166.0,709,3220,Micro
8952,carolinemcelroystylist,fashion,9157.0,593,632,Micro
8953,nicolexkat,fashion,9152.0,645,734,Micro
8954,brittanyjjones,fashion,9148.0,1113,526,Micro
8955,charitylikesbeards,fashion,9140.0,142,1951,Micro
8956,jankatopanka,fashion,9130.0,999,1753,Micro
8957,yuuukikiyo,fashion,9130.0,635,464,Micro
8958,talitadestefani,fashion,9122.0,479,3761,Micro
8959,lucygillett1993,fashion,9121.0,703,356,Micro
8960,yourunicornbabe,fashion,9117.0,209,931,Micro
8961,chocolateismyvice,fashion,9114.0,1327,383,Micro
8962,jennaleeannllc,fashion,9110.0,3472,561,Micro
8963,street_madonna,fashion,9107.0,1972,375,Micro
8964,metukteket,fashion,9107.0,1427,715,Micro
8965,msjessicastyle,fashion,9103.0,554,1452,Micro
8966,juribeiro,fashion,9102.0,747,444,Micro
8967,fromevelynsheart,fashion,9078.0,2292,2221,Micro
8968,blognatirios,fashion,9072.0,6986,391,Micro
8969,foxxtailz,fashion,9066.0,497,1666,Micro
8970,stylehercloset,fashion,9065.0,226,363,Micro
8971,jesslemos,fashion,9058.0,217,1697,Micro
8972,itfashion,fashion,9043.0,1437,2667,Micro
8973,ambermiller9,fashion,9042.0,2206,323,Micro
8974,spiffycliffy,fashion,9030.0,1880,1367,Micro
8975,sideofglam,fashion,9028.0,2520,347,Micro
8976,kyriskat,fashion,9026.0,361,502,Micro
8977,romy.simona,fashion,9024.0,642,496,Micro
8978,ronhill,fashion,9020.0,2002,517,Micro
8979,dashaneith,fashion,9017.0,1949,326,Micro
8980,thatsaleaf,fashion,9015.0,750,915,Micro
8981,annakalvatn,fashion,9006.0,900,297,Micro
8982,premiere_dame_look,fashion,9002.0,398,218,Micro
8983,asos_elizabeth,fashion,9000.0,199,434,Micro
8984,nuriam_vilaca,fashion,8992.0,1454,888,Micro
8985,tamarmor,fashion,8992.0,1952,815,Micro
8986,lifeeoflo,fashion,8985.0,1085,472,Micro
8987,lifestylemavens,fashion,8980.0,873,2060,Micro
8988,falloverfashion,fashion,8979.0,629,433,Micro
8989,melissad_uk,fashion,8962.0,539,1109,Micro
8990,tania_argent,fashion,8945.0,2014,935,Micro
8991,myvioletdelights,fashion,8941.0,1817,777,Micro
8992,heyitsryleehall,fashion,8935.0,231,2000,Micro
8993,natsuklllll,fashion,8932.0,448,923,Micro
8994,fab_lane21,fashion,8927.0,1119,353,Micro
8995,by.malka,fashion,8923.0,469,442,Micro
8996,5oclocksunday,fashion,8923.0,2881,933,Micro
8997,travelinghoppy,fashion,8914.0,846,496,Micro
8998,thefashionchair,fashion,8905.0,3175,664,Micro
8999,suomelasonja,fashion,8897.0,153,1137,Micro
9000,thebrowneyedkid,fashion,8894.0,229,298,Micro
9001,voguishandcalamity,fashion,8892.0,1318,904,Micro
9002,alexemichaud,fashion,8886.0,626,752,Micro
9003,nessabransan,fashion,8886.0,1962,1223,Micro
9004,dj_gigola,fashion,8886.0,795,339,Micro
9005,elcofrebliaman,fashion,8882.0,878,1906,Micro
9006,beingmrsfowler,fashion,8881.0,1347,2518,Micro
9007,victoriaxstyle,fashion,8880.0,920,371,Micro
9008,givemeallthepretties,fashion,8877.0,271,535,Micro
9009,hugrunegils,fashion,8875.0,888,759,Micro
9010,britain_bennett,fashion,8873.0,602,364,Micro
9011,alannamcnally,fashion,8870.0,1118,864,Micro
9012,annapantarei,fashion,8869.0,1670,1426,Micro
9013,zaatina_z,fashion,8868.0,214,380,Micro
9014,sasarisa0110,fashion,8854.0,1737,1397,Micro
9015,stylingbyanh,fashion,8853.0,914,912,Micro
9016,bbdance17,fashion,8842.0,567,1001,Micro
9017,thewaytomyhart,fashion,8841.0,3154,1569,Micro
9018,jasuuu,fashion,8837.0,814,313,Micro
9019,robineblickman,fashion,8832.0,985,257,Micro
9020,stefy.ste.52,fashion,8832.0,385,1314,Micro
9021,marinela_marku,fashion,8830.0,3072,281,Micro
9022,rafael_esteiotur,fashion,8826.0,4768,2188,Micro
9023,saraicetea,fashion,8814.0,2859,361,Micro
9024,simkosays,fashion,8813.0,1689,1884,Micro
9025,fashionbeautyed,fashion,8810.0,1318,1291,Micro
9026,centralfloridabelle,fashion,8809.0,2833,827,Micro
9027,fatima_domingush,fashion,8806.0,1006,993,Micro
9028,miry19941,fashion,8801.0,7435,1896,Micro
9029,lipstickandsparkle,fashion,8798.0,4165,665,Micro
9030,nadi.ct,fashion,8797.0,425,367,Micro
9031,mathildalacannelle,fashion,8796.0,279,698,Micro
9032,alexxcoll,fashion,8790.0,1788,577,Micro
9033,myazurelife,fashion,8788.0,524,544,Micro
9034,mariavittoriamontich,fashion,8787.0,2031,962,Micro
9035,loveleighlove,fashion,8783.0,3879,1160,Micro
9036,trulyjamie,fashion,8777.0,3532,999,Micro
9037,laurelryser,fashion,8775.0,500,586,Micro
9038,yvonne_vage,fashion,8767.0,462,607,Micro
9039,my.stylinglife,fashion,8765.0,1763,321,Micro
9040,johannahelga9,fashion,8764.0,899,812,Micro
9041,alessiadrinklipstick,fashion,8752.0,997,1079,Micro
9042,blacc_velvett,fashion,8744.0,2851,248,Micro
9043,miramargaret,fashion,8744.0,2810,851,Micro
9044,thesarakhalil,fashion,8737.0,1089,1341,Micro
9045,eiderdprado,fashion,8735.0,833,969,Micro
9046,seekaxiom,fashion,8722.0,987,790,Micro
9047,tarynnalexa,fashion,8720.0,934,894,Micro
9048,msjuicyy,fashion,8715.0,1330,3144,Micro
9049,malanghi,fashion,8713.0,2105,695,Micro
9050,nhougaard,fashion,8710.0,874,498,Micro
9051,linnodman,fashion,8705.0,646,1394,Micro
9052,_addiejones,fashion,8702.0,3488,394,Micro
9053,thesparkleofjoy,fashion,8694.0,1794,946,Micro
9054,saraavenneri,fashion,8693.0,733,267,Micro
9055,janiyawalker,fashion,8687.0,1681,969,Micro
9056,flafavro,fashion,8681.0,3687,449,Micro
9057,miss_danielv,fashion,8681.0,633,438,Micro
9058,brittanybzucker,fashion,8679.0,3908,6926,Micro
9059,meganmccoig,fashion,8671.0,983,868,Micro
9060,walibel,fashion,8664.0,918,1287,Micro
9061,blogbynoelle,fashion,8662.0,997,955,Micro
9062,dressedfortime,fashion,8655.0,3394,1635,Micro
9063,chadmombeauty,fashion,8647.0,1945,1332,Micro
9064,naturallyfarout,fashion,8644.0,742,488,Micro
9065,theatre_of_reallife,fashion,8643.0,6907,288,Micro
9066,pr1ncessl1a,fashion,8640.0,922,934,Micro
9067,itsjustinesjournal,fashion,8629.0,592,878,Micro
9068,aysegulec97,fashion,8620.0,431,693,Micro
9069,angelinapiro,fashion,8618.0,809,496,Micro
9070,sea_greene_,fashion,8618.0,1183,2703,Micro
9071,somethingweseek,fashion,8616.0,1306,593,Micro
9072,henni.kristin,fashion,8611.0,901,449,Micro
9073,elisabethvda,fashion,8610.0,681,421,Micro
9074,danijackel,fashion,8607.0,965,363,Micro
9075,elisasamaral,fashion,8603.0,1624,1844,Micro
9076,hannahlinaa,fashion,8602.0,645,483,Micro
9077,savvyou,fashion,8597.0,752,447,Micro
9078,lorealjonesimage,fashion,8593.0,731,670,Micro
9079,allierick,fashion,8586.0,2099,461,Micro
9080,dwalla10,fashion,8584.0,977,392,Micro
9081,alexandrabeuter,fashion,8583.0,885,873,Micro
9082,nursejakeluis,fashion,8583.0,1765,2830,Micro
9083,ryan_caruso,fashion,8582.0,992,503,Micro
9084,beaeks,fashion,8580.0,746,807,Micro
9085,the.stylehaus,fashion,8578.0,3010,361,Micro
9086,jeg_fashionblog,fashion,8573.0,1489,394,Micro
9087,livvrh,fashion,8573.0,1648,2330,Micro
9088,stephens_louisa,fashion,8570.0,56,549,Micro
9089,magdalenschkova,fashion,8566.0,1997,800,Micro
9090,cobbieyates,fashion,8555.0,3631,2032,Micro
9091,aquarius8588,fashion,8548.0,6078,484,Micro
9092,chy.forwardsoul,fashion,8544.0,998,540,Micro
9093,mariina.ram,fashion,8541.0,4197,305,Micro
9094,odaalamoda,fashion,8537.0,824,1035,Micro
9095,celebalore,fashion,8537.0,1249,4756,Micro
9096,vy.primozich,fashion,8525.0,2685,1042,Micro
9097,amberrosephoto,fashion,8523.0,898,3069,Micro
9098,raquelpueyo,fashion,8518.0,886,1162,Micro
9099,theglammood,fashion,8515.0,2978,1985,Micro
9100,samyuktarao,fashion,8514.0,485,344,Micro
9101,thatchicmom,fashion,8512.0,1438,4135,Micro
9102,theburbgirl,fashion,8506.0,1660,440,Micro
9103,gabrieladegraaf,fashion,8502.0,912,413,Micro
9104,live_lavishly_blog,fashion,8502.0,413,578,Micro
9105,sarahslifestylediary,fashion,8498.0,985,1657,Micro
9106,carmensegattini,fashion,8492.0,662,691,Micro
9107,lauren.pak,fashion,8490.0,927,643,Micro
9108,tashfunderburk,fashion,8489.0,2862,1060,Micro
9109,sunispretty,fashion,8480.0,815,1132,Micro
9110,insta_crone,fashion,8472.0,3623,340,Micro
9111,rebeccaarabella,fashion,8468.0,627,363,Micro
9112,daniela.lucia.weber,fashion,8463.0,851,314,Micro
9113,wefivekings,fashion,8460.0,7351,3463,Micro
9114,florianahoff,fashion,8459.0,738,674,Micro
9115,demimaric,fashion,8456.0,1451,1112,Micro
9116,dreamywalkhome,fashion,8450.0,3928,401,Micro
9117,madelineee_marieee13,fashion,8449.0,1070,833,Micro
9118,oripolito,fashion,8442.0,973,564,Micro
9119,heidicaterina,fashion,8437.0,453,341,Micro
9120,teresemalmberg,fashion,8437.0,289,413,Micro
9121,everydaestyle,fashion,8433.0,653,416,Micro
9122,suzziesuee,fashion,8418.0,968,297,Micro
9123,theultimatefashionista,fashion,8409.0,6996,1519,Micro
9124,kaleymcc,fashion,8407.0,798,1283,Micro
9125,julesvandeneynde,fashion,8406.0,1552,412,Micro
9126,hayearls,fashion,8404.0,2554,402,Micro
9127,lanadewulf,fashion,8400.0,373,546,Micro
9128,coleguinhasdebalsas,fashion,8399.0,1786,762,Micro
9129,ritchy_rizk,fashion,8399.0,25,6301,Micro
9130,crownsbyceleste,fashion,8398.0,2313,2760,Micro
9131,alessio.capizzi,fashion,8393.0,386,1727,Micro
9132,kathrynnicolaus,fashion,8389.0,998,801,Micro
9133,so_narly,fashion,8383.0,701,2218,Micro
9134,hellorobinsonstyle,fashion,8382.0,627,3301,Micro
9135,barbeemusic,fashion,8382.0,963,1876,Micro
9136,shenaeandrus,fashion,8381.0,522,320,Micro
9137,theomedit,fashion,8373.0,824,977,Micro
9138,brittanialexandra,fashion,8371.0,1293,362,Micro
9139,lenaksamuels,fashion,8370.0,3382,771,Micro
9140,kimmymarymackey,fashion,8366.0,997,2364,Micro
9141,theclosetconsultant,fashion,8365.0,2225,748,Micro
9142,jenniferwalcottfanclub,fashion,8358.0,256,1545,Micro
9143,lenanova__,fashion,8356.0,2772,2789,Micro
9144,to.thine.own.self.be.trill,fashion,8353.0,3117,635,Micro
9145,beautychick101,fashion,8352.0,977,2717,Micro
9146,mutaz_elneel,fashion,8352.0,1520,421,Micro
9147,kirstivaikla,fashion,8347.0,909,522,Micro
9148,geoteixeira,fashion,8343.0,1058,802,Micro
9149,c8flinkenberg,fashion,8341.0,545,3036,Micro
9150,viccmarini,fashion,8339.0,487,555,Micro
9151,laurencfitzgerald,fashion,8337.0,2900,490,Micro
9152,katelouiseblog,fashion,8335.0,717,3059,Micro
9153,tayaladame,fashion,8334.0,731,1466,Micro
9154,gracieaber,fashion,8333.0,991,401,Micro
9155,aimeerancer,fashion,8321.0,1421,2014,Micro
9156,miduyang,fashion,8319.0,1166,193,Micro
9157,laidbackandlavish,fashion,8317.0,489,194,Micro
9158,ybuzko,fashion,8316.0,169,2437,Micro
9159,fashionnestaa_,fashion,8309.0,1037,484,Micro
9160,jadri_gajic,fashion,8304.0,4940,1116,Micro
9161,michdedrie,fashion,8303.0,486,288,Micro
9162,clubforty.claire,fashion,8301.0,773,834,Micro
9163,himperiofitness,fashion,8299.0,4477,659,Micro
9164,kensley_atwell,fashion,8290.0,1177,255,Micro
9165,alivialevie,fashion,8290.0,968,558,Micro
9166,laurapjanis,fashion,8280.0,1148,599,Micro
9167,feliciamay00,fashion,8279.0,1083,325,Micro
9168,byeleanore,fashion,8276.0,861,604,Micro
9169,d.wojtas,fashion,8272.0,885,782,Micro
9170,restandriesling,fashion,8271.0,3268,330,Micro
9171,kobibrackenfromthelakers,fashion,8267.0,885,1258,Micro
9172,jucsilva,fashion,8267.0,3883,999,Micro
9173,tinibeltran,fashion,8255.0,1656,1069,Micro
9174,gioott,fashion,8254.0,2523,1338,Micro
9175,pearlsandtwirls,fashion,8251.0,1559,1984,Micro
9176,xmarlindeee,fashion,8243.0,2355,326,Micro
9177,ireninacris,fashion,8237.0,888,761,Micro
9178,easterndolce,fashion,8232.0,3355,261,Micro
9179,annabelizm,fashion,8232.0,1610,799,Micro
9180,thewastedblog,fashion,8232.0,657,352,Micro
9181,herz.mama,fashion,8231.0,235,693,Micro
9182,littlepieceofchic,fashion,8219.0,2334,877,Micro
9183,magical_pakistan,fashion,8213.0,373,259,Micro
9184,evakais_r,fashion,8206.0,615,914,Micro
9185,franhaining,fashion,8200.0,989,352,Micro
9186,fitfreedomlifestyle,fashion,8198.0,1044,347,Micro
9187,ashhtaylor,fashion,8198.0,1205,830,Micro
9188,intimateweddings,fashion,8195.0,4054,2732,Micro
9189,hildurmariaa,fashion,8194.0,1083,577,Micro
9190,lostluxe,fashion,8176.0,1054,716,Micro
9191,faith.fully.yours,fashion,8170.0,1336,525,Micro
9192,brittney_k,fashion,8168.0,2782,259,Micro
9193,heyjodeblog,fashion,8158.0,3310,438,Micro
9194,goldieplusmodel,fashion,8151.0,5565,353,Micro
9195,themiddlemama,fashion,8146.0,1839,996,Micro
9196,johannavizmanos,fashion,8145.0,1260,1283,Micro
9197,lebu_,fashion,8139.0,4589,3627,Micro
9198,justmaryum,fashion,8128.0,667,274,Micro
9199,thedaydreameruk,fashion,8115.0,962,5593,Micro
9200,missfely,fashion,8110.0,999,640,Micro
9201,ericmunson,fashion,8105.0,806,1286,Micro
9202,espressoandchanel,fashion,8104.0,5114,543,Micro
9203,elzasoko,fashion,8095.0,833,1651,Micro
9204,victoriasaccessories,fashion,8092.0,1623,2627,Micro
9205,duh.laney_,fashion,8090.0,1390,479,Micro
9206,thedailyte.a,fashion,8088.0,507,254,Micro
9207,himegaru,fashion,8083.0,680,375,Micro
9208,emmanuellepoumirol,fashion,8080.0,1137,1456,Micro
9209,alexispaigeb,fashion,8074.0,1509,1222,Micro
9210,thesunkissedlife_,fashion,8074.0,835,292,Micro
9211,taylorjoachim,fashion,8073.0,976,889,Micro
9212,emilybfahlsing,fashion,8070.0,998,870,Micro
9213,missmollymoon,fashion,8067.0,858,1042,Micro
9214,laurenanciaux,fashion,8062.0,1346,390,Micro
9215,mileepaz,fashion,8058.0,769,2163,Micro
9216,sheelachristyn,fashion,8056.0,632,644,Micro
9217,amy_daniels,fashion,8053.0,315,637,Micro
9218,angelikadoss,fashion,8051.0,6401,1984,Micro
9219,samanthamariko,fashion,8048.0,1814,3536,Micro
9220,chelseafenech,fashion,8047.0,482,406,Micro
9221,chrisylla10,fashion,8047.0,958,269,Micro
9222,abigaiilcomrie,fashion,8047.0,2364,645,Micro
9223,patricejwill,fashion,8044.0,679,2721,Micro
9224,karine_trudel,fashion,8042.0,456,360,Micro
9225,emmasevilles,fashion,8040.0,446,353,Micro
9226,scherziest,fashion,8040.0,288,1189,Micro
9227,_moni_angel_,fashion,8037.0,734,1735,Micro
9228,superagentju,fashion,8034.0,1083,1248,Micro
9229,jennifer.von.da.lutz,fashion,8013.0,556,540,Micro
9230,ema0218,fashion,8013.0,337,1175,Micro
9231,emilyjayneellis,fashion,8012.0,697,487,Micro
9232,thisisnoenvy,fashion,8008.0,1298,521,Micro
9233,elofancy,fashion,8007.0,787,1477,Micro
9234,victoriagblack,fashion,8006.0,1536,1056,Micro
9235,manuelatosin,fashion,8006.0,398,308,Micro
9236,tonbarbier,fashion,7999.0,999,1951,Micro
9237,samdeley,fashion,7998.0,1262,681,Micro
9238,ishootwhatever,fashion,7998.0,3996,825,Micro
9239,awadewego,fashion,7995.0,931,1430,Micro
9240,yasmin_hml,fashion,7994.0,746,237,Micro
9241,sweetjellybean5,fashion,7992.0,2097,2023,Micro
9242,michaeladartois,fashion,7985.0,1195,1167,Micro
9243,leahwillig,fashion,7980.0,3156,1027,Micro
9244,santo_dre,fashion,7979.0,923,329,Micro
9245,klaudipoloncova,fashion,7973.0,401,590,Micro
9246,sewinglikemad,fashion,7968.0,504,1642,Micro
9247,hanpaine,fashion,7967.0,1548,1154,Micro
9248,teatodorovic,fashion,7965.0,1526,471,Micro
9249,madisonmartine1,fashion,7965.0,628,666,Micro
9250,whatmayadid,fashion,7962.0,2642,763,Micro
